Date,Event,Category
12/25/1000,Stephen I is crowned the first King of Hungary,Politics & Government
11/13/1002,King Aethelred orders the St. Brice's Day massacre of Danes in England,Crime & Assassination
4/23/1016,Edmund Ironside becomes King of the English amid Danish invasions,Politics & Government
11/30/1016,Cnut the Great becomes King of England,Politics & Government
7/29/1030,King Olaf II of Norway is killed at the Battle of Stiklestad,War & Military Conflict
8/15/1040,Macbeth becomes King of Scotland after killing Duncan I,Politics & Government
6/8/1042,Edward the Confessor becomes King of England,Politics & Government
7/4/1054,"Chinese and Arab astronomers record a brilliant supernova, later forming the Crab Nebula",Space & Astronomy
7/16/1054,The Great Schism divides Eastern and Western Christianity,Religion
7/16/1054,Cardinal legates excommunicate the Patriarch of Constantinople,Religion
8/15/1057,"Macbeth killed by Duncan, his rival for the Scottish throne",Politics & Government
12/28/1065,Westminster Abbey is consecrated shortly before Edward the Confessor's death,Religion
1/5/1066,"King Edward the Confessor dies, leading to a succession crisis",Politics & Government
1/6/1066,Harold Godwinson crowned King of England,Politics & Government
9/25/1066,King Harald Hardrada is defeated at the Battle of Stamford Bridge,War & Military Conflict
9/28/1066,"William the Conqueror's fleet lands at Pevensey, England",War & Military Conflict
10/14/1066,William the Conqueror defeats King Harold at the Battle of Hastings,War & Military Conflict
12/25/1066,William the Conqueror is crowned King of England at Westminster Abbey,War & Military Conflict
8/26/1071,Seljuk Turks defeat the Byzantines at the Battle of Manzikert,War & Military Conflict
1/25/1077,Holy Roman Emperor Henry IV does penance at Canossa,Politics & Government
10/28/1084,Norman forces sack the city of Rome,War & Military Conflict
5/25/1085,Christian forces capture Toledo from the Moors during the Reconquista,War & Military Conflict
1/1/1088,"The University of Bologna is founded, the oldest university in the Western world",Politics & Government
10/14/1092,Architect and vizier Nizam al-Mulk is assassinated in Persia,Crime & Assassination
10/21/1097,Crusaders begin the siege of Antioch,War & Military Conflict
6/3/1098,Crusaders capture Antioch after a long siege,War & Military Conflict
7/15/1099,Crusaders take control of Jerusalem,War & Military Conflict
8/2/1100,King William II of England dies in a hunting accident,Politics & Government
8/5/1100,Henry I is crowned King of England,Politics & Government
9/28/1106,Henry I defeats his brother Robert at the Battle of Tinchebray,War & Military Conflict
1/1/1119,The Knights Templar are founded in Jerusalem,Religion
9/23/1122,The Concordat of Worms ends the Investiture Controversy,Religion
6/22/1128,Geoffrey of Anjou marries Empress Matilda,Politics & Government
6/24/1128,Portugal wins independence from Leon at the Battle of Sao Mamede,War & Military Conflict
12/25/1130,Roger II is crowned King of Sicily,Politics & Government
2/2/1141,Empress Matilda is captured at the Battle of Lincoln,War & Military Conflict
5/18/1152,Henry Plantagenet marries Eleanor of Aquitaine,Politics & Government
12/19/1154,"Henry II becomes King of England, founding the Plantagenet dynasty",Politics & Government
9/1/1159,Pope Alexander III is elected amid a contested papal conclave,Religion
12/1/1170,King Henry II reconciles briefly with Thomas Becket,Politics & Government
12/29/1170,Archbishop Thomas Becket is murdered in Canterbury Cathedral,Crime & Assassination
1/1/1171,Saladin ends the Fatimid Caliphate and becomes ruler of Egypt,Politics & Government
8/9/1173,Construction begins on the Leaning Tower of Pisa,"Arts, Literature & Media"
5/29/1176,Lombard forces defeat Frederick Barbarossa at Legnano,War & Military Conflict
6/18/1178,Genghis Khan begins uniting the Mongol tribes,War & Military Conflict
8/6/1181,"Chinese and Japanese astronomers record a supernova, later cataloged as SN 1181",Space & Astronomy
6/11/1183,Henry the Young King dies during a revolt against his father,War & Military Conflict
10/2/1187,Saladin's forces retake Jerusalem from the Crusaders,War & Military Conflict
7/6/1189,King Henry II of England dies,Politics & Government
7/12/1191,Crusaders capture the port city of Acre,War & Military Conflict
9/9/1191,Richard the Lionheart defeats Saladin at the Battle of Arsuf,War & Military Conflict
1/1/1192,"Minamoto no Yoritomo becomes Japan's first shogun, founding the Kamakura shogunate",Politics & Government
2/6/1194,Richard the Lionheart is released after being held for ransom,War & Military Conflict
6/12/1194,Richard the Lionheart is crowned King of England for a second time,Politics & Government
5/27/1199,King John is crowned King of England,Politics & Government
4/12/1204,Crusaders sack Constantinople during the Fourth Crusade,War & Military Conflict
1/1/1206,Genghis Khan is proclaimed ruler of a unified Mongol Empire,Politics & Government
1/1/1209,Francis of Assisi founds the Franciscan religious order,Religion
6/19/1210,The Teutonic Knights begin their campaign in the Baltic,War & Military Conflict
7/16/1212,Christian forces win the Battle of Las Navas de Tolosa in Spain,War & Military Conflict
7/27/1214,Philip II of France wins the decisive Battle of Bouvines,War & Military Conflict
6/15/1215,King John seals the Magna Carta at Runnymede,Politics & Government
10/28/1216,Henry III becomes King of England at age nine,Politics & Government
6/24/1218,Crusaders begin the siege of Damietta in Egypt,War & Military Conflict
6/15/1219,"Danish forces capture Tallinn, founding what becomes Estonia's capital",War & Military Conflict
11/22/1220,Frederick II is crowned Holy Roman Emperor in Rome,Politics & Government
8/18/1227,Genghis Khan dies during a military campaign,Politics & Government
8/27/1232,The Mongols complete their conquest of the Jin dynasty's capital region,War & Military Conflict
1/1/1241,Hamburg and Lubeck form an alliance that grows into the Hanseatic League,Business & Economy
4/9/1241,Mongol forces defeat Polish and German knights at the Battle of Legnica,War & Military Conflict
12/13/1250,Holy Roman Emperor Frederick II dies in Italy,Politics & Government
2/13/1258,"Mongol forces sack Baghdad, ending the Abbasid Caliphate",War & Military Conflict
9/8/1260,Mamluks defeat the Mongols at the Battle of Ain Jalut,War & Military Conflict
7/25/1261,Byzantine forces recapture Constantinople from the Latin Empire,War & Military Conflict
6/18/1264,"Simon de Montfort's parliament meets, an early step toward representative government",Politics & Government
8/4/1265,Simon de Montfort is killed at the Battle of Evesham,War & Military Conflict
1/1/1271,Kublai Khan establishes the Yuan dynasty in China,Politics & Government
1/1/1271,Marco Polo sets out from Venice on his journey to Asia,Exploration & Discovery
8/19/1274,Edward I is crowned King of England,Politics & Government
9/8/1279,Mongol forces complete the conquest of Song China at the naval Battle of Yamen,War & Military Conflict
8/15/1281,A typhoon destroys the invading Mongol fleet off Japan,War & Military Conflict
3/30/1282,The Sicilian Vespers uprising erupts against Angevin rule,War & Military Conflict
