Level1,Level2,Level3,Description
Alpha1,A1,,Alpha1/A1 - depth-2 leaf (uniform-shallow branch 1 of 10)
Alpha1,A2,,Alpha1/A2 - depth-2 leaf (uniform-shallow branch 1 of 10)
Alpha1,A3,,Alpha1/A3 - depth-2 leaf (uniform-shallow branch 1 of 10)
Alpha1,A4,,Alpha1/A4 - depth-2 leaf (uniform-shallow branch 1 of 10)
Alpha1,A5,,Alpha1/A5 - depth-2 leaf (uniform-shallow branch 1 of 10)
Alpha1,A6,,Alpha1/A6 - depth-2 leaf (uniform-shallow branch 1 of 10)
Alpha2,A1,,Alpha2/A1 - depth-2 leaf (uniform-shallow branch 2 of 10)
Alpha2,A2,,Alpha2/A2 - depth-2 leaf (uniform-shallow branch 2 of 10)
Alpha2,A3,,Alpha2/A3 - depth-2 leaf (uniform-shallow branch 2 of 10)
Alpha2,A4,,Alpha2/A4 - depth-2 leaf (uniform-shallow branch 2 of 10)
Alpha2,A5,,Alpha2/A5 - depth-2 leaf (uniform-shallow branch 2 of 10)
Alpha2,A6,,Alpha2/A6 - depth-2 leaf (uniform-shallow branch 2 of 10)
Alpha3,A1,,Alpha3/A1 - depth-2 leaf (uniform-shallow branch 3 of 10)
Alpha3,A2,,Alpha3/A2 - depth-2 leaf (uniform-shallow branch 3 of 10)
Alpha3,A3,,Alpha3/A3 - depth-2 leaf (uniform-shallow branch 3 of 10)
Alpha3,A4,,Alpha3/A4 - depth-2 leaf (uniform-shallow branch 3 of 10)
Alpha3,A5,,Alpha3/A5 - depth-2 leaf (uniform-shallow branch 3 of 10)
Alpha3,A6,,Alpha3/A6 - depth-2 leaf (uniform-shallow branch 3 of 10)
Alpha4,A1,,Alpha4/A1 - depth-2 leaf (uniform-shallow branch 4 of 10)
Alpha4,A2,,Alpha4/A2 - depth-2 leaf (uniform-shallow branch 4 of 10)
Alpha4,A3,,Alpha4/A3 - depth-2 leaf (uniform-shallow branch 4 of 10)
Alpha4,A4,,Alpha4/A4 - depth-2 leaf (uniform-shallow branch 4 of 10)
Alpha4,A5,,Alpha4/A5 - depth-2 leaf (uniform-shallow branch 4 of 10)
Alpha4,A6,,Alpha4/A6 - depth-2 leaf (uniform-shallow branch 4 of 10)
Alpha5,A1,,Alpha5/A1 - depth-2 leaf (uniform-shallow branch 5 of 10)
Alpha5,A2,,Alpha5/A2 - depth-2 leaf (uniform-shallow branch 5 of 10)
Alpha5,A3,,Alpha5/A3 - depth-2 leaf (uniform-shallow branch 5 of 10)
Alpha5,A4,,Alpha5/A4 - depth-2 leaf (uniform-shallow branch 5 of 10)
Alpha5,A5,,Alpha5/A5 - depth-2 leaf (uniform-shallow branch 5 of 10)
Alpha5,A6,,Alpha5/A6 - depth-2 leaf (uniform-shallow branch 5 of 10)
Alpha6,A1,,Alpha6/A1 - depth-2 leaf (uniform-shallow branch 6 of 10)
Alpha6,A2,,Alpha6/A2 - depth-2 leaf (uniform-shallow branch 6 of 10)
Alpha6,A3,,Alpha6/A3 - depth-2 leaf (uniform-shallow branch 6 of 10)
Alpha6,A4,,Alpha6/A4 - depth-2 leaf (uniform-shallow branch 6 of 10)
Alpha6,A5,,Alpha6/A5 - depth-2 leaf (uniform-shallow branch 6 of 10)
Alpha6,A6,,Alpha6/A6 - depth-2 leaf (uniform-shallow branch 6 of 10)
Alpha7,A1,,Alpha7/A1 - depth-2 leaf (uniform-shallow branch 7 of 10)
Alpha7,A2,,Alpha7/A2 - depth-2 leaf (uniform-shallow branch 7 of 10)
Alpha7,A3,,Alpha7/A3 - depth-2 leaf (uniform-shallow branch 7 of 10)
Alpha7,A4,,Alpha7/A4 - depth-2 leaf (uniform-shallow branch 7 of 10)
Alpha7,A5,,Alpha7/A5 - depth-2 leaf (uniform-shallow branch 7 of 10)
Alpha7,A6,,Alpha7/A6 - depth-2 leaf (uniform-shallow branch 7 of 10)
Alpha8,A1,,Alpha8/A1 - depth-2 leaf (uniform-shallow branch 8 of 10)
Alpha8,A2,,Alpha8/A2 - depth-2 leaf (uniform-shallow branch 8 of 10)
Alpha8,A3,,Alpha8/A3 - depth-2 leaf (uniform-shallow branch 8 of 10)
Alpha8,A4,,Alpha8/A4 - depth-2 leaf (uniform-shallow branch 8 of 10)
Alpha8,A5,,Alpha8/A5 - depth-2 leaf (uniform-shallow branch 8 of 10)
Alpha8,A6,,Alpha8/A6 - depth-2 leaf (uniform-shallow branch 8 of 10)
Alpha9,A1,,Alpha9/A1 - depth-2 leaf (uniform-shallow branch 9 of 10)
Alpha9,A2,,Alpha9/A2 - depth-2 leaf (uniform-shallow branch 9 of 10)
Alpha9,A3,,Alpha9/A3 - depth-2 leaf (uniform-shallow branch 9 of 10)
Alpha9,A4,,Alpha9/A4 - depth-2 leaf (uniform-shallow branch 9 of 10)
Alpha9,A5,,Alpha9/A5 - depth-2 leaf (uniform-shallow branch 9 of 10)
Alpha9,A6,,Alpha9/A6 - depth-2 leaf (uniform-shallow branch 9 of 10)
Alpha10,A1,,Alpha10/A1 - depth-2 leaf (uniform-shallow branch 10 of 10)
Alpha10,A2,,Alpha10/A2 - depth-2 leaf (uniform-shallow branch 10 of 10)
Alpha10,A3,,Alpha10/A3 - depth-2 leaf (uniform-shallow branch 10 of 10)
Alpha10,A4,,Alpha10/A4 - depth-2 leaf (uniform-shallow branch 10 of 10)
