Level1,Level2,Level3,Description
Alpha,A1,,Alpha/A1 - depth-2 leaf (whole Alpha branch has no Level3)
Alpha,A2,,Alpha/A2 - depth-2 leaf
Alpha,A3,,Alpha/A3 - depth-2 leaf
Alpha,A4,,Alpha/A4 - depth-2 leaf
Alpha,A5,,Alpha/A5 - depth-2 leaf
Alpha,A6,,Alpha/A6 - depth-2 leaf (last of 6 - widest depth-2 branch)
Beta,B1,B1-1,Beta/B1/B1-1 - depth-3 leaf (B1 has 4 children)
Beta,B1,B1-2,Beta/B1/B1-2 - depth-3 leaf
Beta,B1,B1-3,Beta/B1/B1-3 - depth-3 leaf
Beta,B1,B1-4,Beta/B1/B1-4 - depth-3 leaf
Beta,B2,B2-1,Beta/B2/B2-1 - depth-3 leaf (B2 has only 1 child)
Beta,B3,B3-1,Beta/B3/B3-1 - depth-3 leaf (B3 has 7 children)
Beta,B3,B3-2,Beta/B3/B3-2 - depth-3 leaf
Beta,B3,B3-3,Beta/B3/B3-3 - depth-3 leaf
Beta,B3,B3-4,Beta/B3/B3-4 - depth-3 leaf
Beta,B3,B3-5,Beta/B3/B3-5 - depth-3 leaf
Beta,B3,B3-6,Beta/B3/B3-6 - depth-3 leaf
Beta,B3,B3-7,Beta/B3/B3-7 - depth-3 leaf (last of 7 - widest depth-3 branch)
Gamma,G1,G1-1,Gamma/G1/G1-1 - depth-3 leaf (G1 has Level3 populated)
Gamma,G1,G1-2,Gamma/G1/G1-2 - depth-3 leaf
Gamma,G1,G1-3,Gamma/G1/G1-3 - depth-3 leaf
Gamma,G2,,Gamma/G2 event A - depth-2 leaf (same branch as G1 but no Level3 - true within-branch jaggedness)
Gamma,G2,,Gamma/G2 event B - second event sharing the same depth-2 leaf as event A
Delta,,,Delta - depth-1 leaf (both Level2 and Level3 blank - leaf sits at the top level)
