Release,Release Date,Description
Spotfire Pro 1.0,1996,"Text data import, Scatterplot, Dynamic queries."
Spotfire Pro 2.0,1997,"Bar Charts, API, Database Access"
Spotfire Pro 3.0,1998,"Plugin API, Pie charts, HTML details on demand"
Spotfire Pro 4.0,1999,"3D scatter plots, Line charts, Full text search, Excel import"
Spotfire Pro 4.2,2000,"Embedded web window, Spotfire server, Scenarios, eSupport Subscription-based model, web centric s/w"
Spotfire .Net Desktop 5.0,2000,"Profile chart, Trellis plots, import wizard, XML support"
Spotfire .Net Desktop 5.1,2000,Heat maps
Spotfire DecisionSite 6.0,2001,"Query library, Query builder, Map Interaction Services"
Spotfire DecisionSite 7.0,2002,Information Services
Spotfire DecisionSite 7.1,2002,DecisionSite Posters
Spotfire DecisionSite 7.2,2003,Analysis Builder
Spotfire DecisionSite 7.3,2004,"ESRI MapConnect, Column Relationships"
Spotfire DecisionSite 8.0,2004,Library
"Spotfire DecisionSite 8.1, 8.2",2005,Interactive Curve Fit
Spotfire DXP 1.0,2006,Spotfire is re-written from the ground up in .Net
Spotfire DXP 1.1,2006,"Bookmarks, Boxplot, Data Relationships, Summary Table"
Spotfire DXP 2.0,2007,"APIs, Multiple Datasets, Thresholds and Limit Lines, Web Player"
"TIBCO Spotfire 2.1, 2.2",2008,"Web APIs, Configuration Blocks, Transformations, Fitting Models, Multiple Scales, 3D visualization, Network Analytics"
TIBCO Spotfire 3.0,2009,"Treemap, Error Bars, Colored Maps, Periodic and Event Driven Updates, Domain Level Administration, Clustering and Failover"
"TIBCO Spotfire 3.1, 3.2",2010,"Scripting, Property Controls, Conditional Coloring, Combination Chart, Hierarchical Clustering, Oracle Clinicals, Export to PDF, Lists"
"TIBCO Spotfire 3.3, 4.0",2011,"Bookmarks, Structures in Labels and Tooltips, Horizontal Barcharts, Proper Aggregation of Time Series Data, Scalability, Graphical table with calculated values, conditional icons, sparklines and actions, Share to Tibbr, Embed dashboards in web pages"
"TIBCO Spotfire 4.5, 5.0",2012,"Bullet graphs, Access and Analyze Hadoop/Hive with Spotfire Advanced Data Services, Leverage out of the box data functions for exploration and reduction, predictive modeling, time series modeling and scatter plot smoothing, In-database analytics, 5-10x faster in-memory data handling, Advanced analytics with TIBCO Enterprise Runtime for R"
"TIBCO Spotfire 5.5, 6.0",2013,"30+ new in-database sources, management by exception using rule driven visualizations,, Visual joins and quick calculations, Highlight details and trends in context with set comparisons marker transparency and out of the box maps, KPIs and Metrics, Event Analytics, Location Analytics , Enterprise Cloud, Web based authoring with TIBCO Spotfire® Business Author 6.0 (new)"
TIBCO Spotfire 6.5,2014,"WMS Map Layers, Drag and Drop Visualizations between analysis, Calling TERR Scripts from the Spotfire Expression Language...."
TIBCO Spotfire 7.0,2015,"Recommendations, Dark Color Scheme, Custom Style, Data Panel, Easy Category Grouping, Map Visualizations and Quick Configurations in Business Author"
TIBCO Spotfire 7.5 - 7.7,2016,"Annotations, Conversations, Instant Data Profiling, Inline data cleansing, Access to data in Salesforce.com, Apache Spark. SAP Hana certification, Waterfall Charts and Responsive KPI visualizations. Improve Cross Table Readability and Screen Space Usage. Visual Data source overview, Sparklines and webauthoring of KPIs, Web authoring of multi-layer maps, TERR Aggregations, SAP BW Connection improvements, minimum height and width for each page."
TIBCO Spotfire 7.8 - 7.11,2017,"Smart recommendations for adding rows, Federated Authentication:OpenID, Edit Data Transformations and Replace Data, Improved PDF Export with higher resolution and reflecting the visual styling of the analysis."
"TIBCO Spotfire 7.12 - 7.14, 10.0",2018,"Export prepared report to pdf using Automation Services, Lock Visualization Area, Maximize/Restore Visualization, Improved performance for external data, Edit joins in source view, Responsive page layout for mobile devices, Cascading Filters for external data, New Salesforce connector, Re-imagined User Experience, AI Driven Insights, Natural Language Query, Automagic Workflows and Streaming data visualizations."
TIBCO Spotfire 10.1 - 10.6,2019,"Snowflake, MongoDB, and LiveApps, Google Big Query connectivity, Streaming analytics, Interactive AI"
"TIBCO Spotfire 10.7 - 10.10, 11.0",2020,"Python data functions, Customizable toolbar, Shared dual scales,  data cleaning recommendations."
TIBCO Spotfire 11.1 - 11.6,2021,"TIBCO Cloud Data Streams, Visualization mods, multi-layer trellis in map chart, parallel data loading, Interactive tuning of data functions, Actionable notifications, Seamless integration with TIBCO Data Virtualization and visual Data function overview"
