Date,Event
12/1/1955,Rosa Parks arrested for not moving to the back of the bus
12/4/1973,Pioneer 10 reaches Jupiter
12/5/1933,Prohibition ends
12/7/1941,"Japan bombs Pearl Harbor, Hawaii"
12/8/1980,John Lennon shot and killed in NYC
12/11/1941,US declares war on Germany and Italy
12/14/1911,South Pole first reached by Roald Amundsen
12/15/1791,U.S. Bill of Rights signed
12/16/1773,The Boston Tea Party
12/17/1770,Ludwig Von Beethoven is born
12/20/1998,U.S. President William Jefferson Clinton is impeached
12/21/1898,Pierre and Marie Curie discover radium
12/22/1865,General Sherman takes Savannah
12/23/1888,Dutch Painter Vincent Van Gogh cuts off his own ear
12/24/1814,War of 1812 Peace Treaty signed
12/25/1776,General George Washington and his troops cross the Delaware River
12/28/1895,World's first movie theater opens in Paris
12/29/1890,"The Battle of Wounded Knee, S.D."
1/2/1968,First successful human heart transplant performed
1/3/1959,Alaska becomes 49th U.S. state
1/4/1642,Sir Isaac Newton is born
1/5/1920,Boston Red Sox sell Babe Ruth to NY Yankees
1/6/1412,French heroine Joan of Arc born
1/8/1935,Elvis Presly is born
1/13/1930,First Mickey Mouse comic strip appears
1/17/1706,Benjamin Franklin is born
1/18/1778,Capt. James Cook finds Sandwich (Hawaiian) Islands
1/21/1799,Edward Jenners smallpox vaccine introduced
1/24/1924,"St. Petersburg, Russia renamed Leningrad"
1/25/1915,Alexander Graham Bell makes 1st transcontinental phone call
1/26/1875,Dentist's electric drill patented
1/27/1967,"Apollo 1 fire kills astronauts Grissom, White, and Chaffee"
1/30/1933,The Lone Ranger premieres on ABC radio
1/31/1865,Congress passes 13th Amendment abolishing slavery
2/2/1848,Treaty of Guadalupe Hidalgo end U.S-Mexican War
2/8/1587,Mary Queen of Scots beheaded
2/13/1866,"Jesse James hold up his first bank in Liberty, MO"
2/16/1923,Tutankhamen's burial chamber is opened
2/19/1878,Edison patents the gramophone
2/20/1792,U.S. Postal Service is created
2/23/1945,U.S. Marines raise the flag on Iwo Jima
2/24/1821,Mexico gains independence from Spain
2/26/1870,First NYC subway line opens
2/28/1854,Republican Party formally organized
3/1/1790,First U.S. census authorized
3/2/1973,Vietnam peace treaty signed in Paris
3/3/1931,The Star Spangled Banner become the U.S. national athem
3/7/1926,First transatlantic telephone call
3/8/1965,First U.S. troops arrive in Vietnam
3/10/1862,First U.S. paper currency is issued
3/11/1953,Nuclear bomb accidentally dropped on North Carolina
3/16/1830,Slowest day ever for NY Stock Exchange
3/18/1949,NATO is formed
3/21/1965,"Martin Luther King Jr. leads march from Selma to Montgomery, AL"
3/22/1903,Niagra Falls runs dry due to drought
3/24/1837,Canada grants blacks the right to vote
3/25/1911,"Triangle Shirtwaist Factory fire kills 145, only 13 girls survive"
3/27/1914,First successful blood transfusion
3/29/1932,Jack Benny debuts on radio
3/30/1932,Amelia Earhart is first woman to fly solo across the Atlantic
4/2/1978,Velcro is first sold
4/3/1882,Jesse James is killed
4/4/1581,Frances Drake completes circumnavigation of the world
4/8/1513,Ponce de Leon claims Florida for Spain
4/9/1865,Gen. Lee surrenders to Gen. Grant at Appomattox
4/10/1849,The safety pin is patented
4/14/1614,Pochahontas marries John Rolfe
4/15/1452,Leonardo da Vinci is born
4/16/1922,Annie Oakley shoot a record 100 clay targets in a row
4/19/1906,The Great San Francisco Earthquake
4/19/1956,Grace Kelley marries Prince Ranier III of Monaco
4/20/1889,Adolf Hitler was born
4/23/1564,WIlliam Shakespeare was born
4/26/1986,The Chernobyl nuclear disaster
4/28/1789,Fletcher Christian leads mutiny on HMS Bounty
4/29/1913,The zipper is patented
4/30/1803,U.S. purchased Louisiana Territory
5/2/1945,Berlin surrenders to the Russian army
5/4/1970,Four students killed by National Guard at Kent State University
5/5/1961,Alan Shepard is first American in space
5/6/1915,Ocean liner Lusitania sunk by German submarines
5/10/1994,Nelson Mandela sworn in as South Africa's first black president
5/17/1845,The rubber band was patented
5/18/1804,Napoleon became Emperor of France
5/21/1881,Clara Barton founded the American Red Cross
5/23/1945,British Prime Minister Winston Churchill resigns
5/24/1884,Samuel Morse send the first telegraph message
5/26/1896,Nicholas II crowned Czar of Russia
5/28/1934,The Dionne quintuplets were born
5/27/1923,Henry Kissenger was born
5/31/1962,Nazi war criminal Adolf Eichmann executed
6/2/1924,U.S. Congress grants Native Americans citizenship
6/4/1940,German forces invade Paris
6/5/1967,Six Day War begins between Isreal and it's Arab neighbors
6/12/1939,Baseball Hall of Fame opens in Cooperstown
6/18/1815,Wellington defeats Napolean at Waterloo
6/22/1970,26th Amendment lowers voting age to 18
6/24/1948,Soviet Union begins the Berlin Blockade
6/28/1919,"Treaty of Versailles signed, ending WWI"
6/29/1854,Gadsen Purchase--U.S. aquires parts of present day AZ & NM
6/30/1936,Gone With the Wind is published
7/1/1963,U.S. Postal Service starts using ZIP code system
7/4/1997,Mars Pathfinder lands on Mars
7/6/1933,First all star game is played at Chicago's Wrigley Field
